consultar,gracia,ver,querer,uno,y,saldo,también,retirar,acá,poder,perfecto,sí,dar,vez,otro,necesitar,sol,recibo,cuenta,pagar,tarjeta,directo,no,ya,sino,pero,efectivo,listo,depó,solo,hacer,número,depósito,aquí,interrupción,depositar,enorme,favor,día,dictar,ser,o,estado,clave,estar,muchísimas,luego,pregunta,retiro,titular,tener,físico,máximo,decir,ininteligible,botón,derecha,bueno,escribir,ok,pago,ninguno,amigo,entonces,haber,sistema,disculpar,colgar,señorito,tampoco,ahora,re,demora,regresar,cuestión,saber,señor,hora,tiempo,general,o_sea,agente,problema,tipo,normalmente,ir,así,intentar,operación,llamar,reportar,más,alguno,cosa,cuelga,todo,ayer,pasar,creer,falla,banco,caer,paso,por_ejemplo,nuevo,movimiento,solamente,todavía,agua,esperar,salir,ahí,voucher,amable,muy,seguir,papá,documento,parte,quedar,pase,adelante,teléfono,especificar,entrar,nombre,empresa,código,volver,por_favor,ingresar,milagro,vendedor,cobrador,gente,ni,aprieto,confundir,amarillo,ahorro,preocupar,diferente,límite,mucho,risa,tarde,sacar,cajero,mismo,pensar,depender,caja,plata,llegar,meter,lado,junto,sólo,fijar,billete,revisar,bien,sitio,sobra
1,5,2,1,3,3,1,2,1,3,2,1,2,4,1,1,3,1,1,4,1,3,1,2,1,1,1,1,1,1,1,2,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,4,2,0,1,0,0,1,1,1,1,0,0,2,1,0,5,0,0,0,2,2,0,0,0,1,0,2,2,3,2,0,0,0,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,1,0,1,1,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2,0,1,1,0,2,0,0,0,1,1,1,3,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,4,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3,1,1,6,2,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,0,10,2,0,1,2,1,3,1,3,1,3,3,0,0,0,1,1,0,0,8,1,0,3,0,0,0,0,5,0,2,0,0,0,0,1,2,0,7,1,1,0,0,0,0,0,5,0,1,0,0,2,2,0,0,0,0,0,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,7,1,1,1,1,1,1,1,3,1,5,3,1,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,2,1,1,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,1,0,2,0,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,3,4,1,1,1,0,2,0,5,2,0,1,0,0,0,3,0,1,0,3,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,4,3,2,0,0,0,1,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,5,3,6,0,0,0,6,6,0,4,12,1,3,0,11,0,3,1,0,0,27,1,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,2,3,1,2,0,0,0,0,0,14,0,0,2,4,0,0,0,0,1,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,6,2,1,1,1,1,3,1,2,1,2,1,2,1,1,1,2,2
